channel_handle,channel_name,channel_url,grade,analyzed,video_count,midform_ratio,shortform_ratio,longform_ratio,median_views,videos_analyzed,last_scanned_at,status,notes,priority
@vortexsinto,vortexsinto,https://www.youtube.com/@vortexsinto/videos,미분석,no,1,0,0,0,0,0,,unused,,
@Movies_Mansion,Movies Mansion,https://www.youtube.com/@Movies_Mansion/videos,미분석,no,3,0,0,0,0,0,,unused,,
@JackCook-z8z,Neon Frame,https://www.youtube.com/@JackCook-z8z/videos,미분석,no,3,0,0,0,0,0,,unused,,
@VoidSignal-g8q,VoidSignal,https://www.youtube.com/@VoidSignal-g8q/videos,미분석,no,3,0,0,0,0,0,,unused,,
@JanetLavender-r4h,SceneGlow,https://www.youtube.com/@JanetLavender-r4h/videos,미분석,no,1,0,0,0,0,0,,unused,,
@USMANKHANKhan-e5p,USMAN GAMING 47,https://www.youtube.com/@USMANKHANKhan-e5p/videos,미분석,no,1,0,0,0,0,0,,unused,,
@benimsihirlideynegim9228,Benim Sihirli Deyneim,https://www.youtube.com/@benimsihirlideynegim9228/videos,미분석,no,1,0,0,0,0,0,,unused,,
@mickydevil6659,Logan Duong,https://www.youtube.com/@mickydevil6659/videos,미분석,no,2,0,0,0,0,0,,unused,,
@HjvhvhcudbGj,Hjvhv hcudb Gj,https://www.youtube.com/@HjvhvhcudbGj/videos,미분석,no,1,0,0,0,0,0,,unused,,
@BrazellHugg,Brazell Hugg,https://www.youtube.com/@BrazellHugg/videos,미분석,no,2,0,0,0,0,0,,unused,,
@Soulus7887,One Scene TV,https://www.youtube.com/@Soulus7887/videos,미분석,no,2,0,0,0,0,0,,unused,,
@Aodomn,Aodomn,https://www.youtube.com/@Aodomn/videos,미분석,no,2,0,0,0,0,0,,unused,,
@Ladystyle-k3u,Lady style,https://www.youtube.com/@Ladystyle-k3u/videos,미분석,no,1,0,0,0,0,0,,unused,,
@SherryArmstrong-g9t,FrameRise,https://www.youtube.com/@SherryArmstrong-g9t/videos,미분석,no,1,0,0,0,0,0,,unused,,
@thatvalenkid,thatvalenkid,https://www.youtube.com/@thatvalenkid/videos,미분석,no,1,0,0,0,0,0,,unused,,
@luuvuong3445,Lu Vng,https://www.youtube.com/@luuvuong3445/videos,미분석,no,3,0,0,0,0,0,,unused,,
@GrahamMcWilliams-o4x,FilmSnap,https://www.youtube.com/@GrahamMcWilliams-o4x/videos,미분석,no,4,0,0,0,0,0,,unused,,
@TrangLe-uu2dt,Trang Le,https://www.youtube.com/@TrangLe-uu2dt/videos,미분석,no,1,0,0,0,0,0,,unused,,
@Cutvortex-o7d,Cutvortex,https://www.youtube.com/@Cutvortex-o7d/videos,미분석,no,1,0,0,0,0,0,,unused,,
@Murphixx,The world of Murphy,https://www.youtube.com/@Murphixx/videos,미분석,no,1,0,0,0,0,0,,unused,,
@McelhanyElicia,Mcelhany Elicia,https://www.youtube.com/@McelhanyElicia/videos,미분석,no,1,0,0,0,0,0,,unused,,
@huychannel4252,Huy Channel,https://www.youtube.com/@huychannel4252/videos,미분석,no,1,0,0,0,0,0,,unused,,
@Shahgaming675,Shahgaming,https://www.youtube.com/@Shahgaming675/videos,미분석,no,3,0,0,0,0,0,,unused,,
@MarieHoward-o4g,Plot Pop,https://www.youtube.com/@MarieHoward-o4g/videos,미분석,no,1,0,0,0,0,0,,unused,,
@EchoFrame-h6r,Echo Frame,https://www.youtube.com/@EchoFrame-h6r/videos,미분석,no,4,0,0,0,0,0,,unused,,
@FilmWord-i2o,FilmWord,https://www.youtube.com/@FilmWord-i2o/videos,미분석,no,5,0,0,0,0,0,,unused,,
@RobemTamasia,Robem Tamasia,https://www.youtube.com/@RobemTamasia/videos,미분석,no,3,0,0,0,0,0,,unused,,
@ReelTension-s1r,ReelTension,https://www.youtube.com/@ReelTension-s1r/videos,미분석,no,1,0,0,0,0,0,,unused,,
@MonoFrame-t4e,MonoFrame,https://www.youtube.com/@MonoFrame-t4e/videos,미분석,no,1,0,0,0,0,0,,unused,,
@AestheCuts-k9b,AestheCuts,https://www.youtube.com/@AestheCuts-k9b/videos,미분석,no,1,0,0,0,0,0,,unused,,
@JoeyBoles,ReelBound,https://www.youtube.com/@JoeyBoles/videos,미분석,no,2,0,0,0,0,0,,unused,,
@FelixClay99,Felix Clay,https://www.youtube.com/@FelixClay99/videos,미분석,no,5,0,0,0,0,0,,unused,,
@TheHouseOfMD,TheHouseOfMD,https://www.youtube.com/@TheHouseOfMD/videos,미분석,no,9,0,0,0,0,0,,unused,,
@Monoly-w2l,Monoly,https://www.youtube.com/@Monoly-w2l/videos,미분석,no,1,0,0,0,0,0,,unused,,
@HouseM.D.,House M.D.,https://www.youtube.com/@HouseM.D./videos,A,yes,2,0.38,0,0.62,44909,50,2026-07-07,unused,,high
@ZenTracks-c4d,Marcus Ellington,https://www.youtube.com/@ZenTracks-c4d/videos,미분석,no,1,0,0,0,0,0,,unused,,
@NelsonFarmer-x7u3q,The Story Reel,https://www.youtube.com/@NelsonFarmer-x7u3q/videos,미분석,no,1,0,0,0,0,0,,unused,,
@CutTheory-s3h,CutTheory,https://www.youtube.com/@CutTheory-s3h/videos,미분석,no,2,0,0,0,0,0,,unused,,
